ObjectID,TrackingRegion,X,Y,RelX,RelY,Frame,MSec,CountingRegion,DataQuality,Time,Millisec,Indicator,NObjects,BlobType
3,Trach,704,759,-46,-341,33,3549.9512,Count,High,6/7/2022 11:48,274,0,1,One
4,Trach,1341,767,591,-333,33,3549.9512,Count,High,6/7/2022 11:48,274,0,1,One
5,Trach,933,780,183,-320,33,3549.9512,Count,High,6/7/2022 11:48,274,0,1,One
1,Trach,1354,398,604,-702,34,3659.5162,Count,High,6/7/2022 11:48,383,0,1,One
2,Trach,428,769,-322,-331,34,3659.5162,Count,High,6/7/2022 11:48,383,0,1,One
3,Trach,1344,762,594,-338,34,3659.5162,Count,High,6/7/2022 11:48,383,0,1,One
4,Trach,705,762,-45,-338,34,3659.5162,Count,High,6/7/2022 11:48,383,0,1,One
5,Trach,917,784,167,-316,34,3659.5162,Count,High,6/7/2022 11:48,383,0,1,One
1,Trach,1355,403,605,-697,35,3768.909,Count,High,6/7/2022 11:48,493,0,1,One
2,Trach,1346,748,596,-352,35,3768.909,Count,High,6/7/2022 11:48,493,0,1,One
3,Trach,427,770,-323,-330,35,3768.909,Count,High,6/7/2022 11:48,493,0,1,One
4,Trach,704,761,-46,-339,35,3768.909,Count,High,6/7/2022 11:48,493,0,1,One
5,Trach,902,789,152,-311,35,3768.909,Count,High,6/7/2022 11:48,493,0,1,One
1,Trach,1352,409,602,-691,36,3883.5892,Count,High,6/7/2022 11:48,607,0,1,One
2,Trach,1349,744,599,-356,36,3883.5892,Count,High,6/7/2022 11:48,607,0,1,One
3,Trach,427,769,-323,-331,36,3883.5892,Count,High,6/7/2022 11:48,607,0,1,One
4,Trach,704,760,-46,-340,36,3883.5892,Count,High,6/7/2022 11:48,607,0,1,One
5,Trach,894,793,144,-307,36,3883.5892,Count,High,6/7/2022 11:48,607,0,1,One
1,Trach,1351,417,601,-683,37,3992.9086,Count,High,6/7/2022 11:48,717,0,1,One
2,Trach,1350,744,600,-356,37,3992.9086,Count,High,6/7/2022 11:48,717,0,1,One
3,Trach,428,769,-322,-331,37,3992.9086,Count,High,6/7/2022 11:48,717,0,1,One
4,Trach,704,762,-46,-338,37,3992.9086,Count,High,6/7/2022 11:48,717,0,1,One
5,Trach,892,792,142,-308,37,3992.9086,Count,High,6/7/2022 11:48,717,0,1,One
1,Trach,1355,425,605,-675,38,4102.027,Count,High,6/7/2022 11:48,826,0,1,One
2,Trach,1339,748,589,-352,38,4102.027,Count,High,6/7/2022 11:48,826,0,1,One
3,Trach,427,770,-323,-330,38,4102.027,Count,High,6/7/2022 11:48,826,0,1,One
4,Trach,705,763,-45,-337,38,4102.027,Count,High,6/7/2022 11:48,826,0,1,One
